y_pred	 y	 loss
tensor([0.7233], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4587, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7252], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4574, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7270], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4562, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7288], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4550, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7306], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4538, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7324], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4526, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7341], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4515, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7358], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4504, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7375], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4494, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7391], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4483, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7407], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4473, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7423], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4464, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7438], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4454, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7454], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4445, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7469], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4436, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7483], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4427, grad_fn=<BinaryCrossEntropyBackward>)
